
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.917	21.297	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.700	21.335	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	49.667	21.153	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	53.291	21.120	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	16/10/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
16/10/2019	13:18:41	0.00		5.4204	5.2334	5.2373	5.9576	31.000	31.000	31.000	31.000	1008.04	58.331	---	---	---	22.048	22.476	22.232	20.831	59.502	29.518	39.974	40.774	4.668	6.465	5.765	5.845	
16/10/2019	13:18:51	10.00		5.4048	5.2667	5.2318	5.9508	31.000	31.000	31.000	31.000	1008.05	58.331	---	---	---	22.080	22.405	22.244	20.843	59.498	29.503	39.970	40.764	4.645	6.481	5.723	5.892	
16/10/2019	13:19:01	20.00		5.4132	5.2384	5.2451	5.9499	31.000	31.000	31.000	31.000	1008.04	58.300	---	---	---	22.062	22.466	22.216	20.845	59.474	29.494	39.984	40.805	4.649	6.476	5.723	5.862	
16/10/2019	13:19:11	30.00		5.4214	5.2683	5.2502	5.9538	31.000	31.000	31.000	31.000	1008.09	58.300	---	---	---	22.046	22.402	22.206	20.837	59.460	29.502	39.929	40.790	4.633	6.478	5.756	5.852	
16/10/2019	13:19:21	40.00		5.4464	5.2748	5.2489	5.9489	31.000	31.000	31.000	31.000	1008.14	58.331	---	---	---	21.994	22.388	22.208	20.847	59.454	29.460	39.956	40.775	4.681	6.469	5.763	5.882	
16/10/2019	13:19:31	50.00		5.4346	5.2737	5.2561	5.9656	31.000	31.000	31.000	31.000	1008.07	58.439	---	---	---	22.019	22.391	22.194	20.816	59.443	29.468	39.928	40.810	4.638	6.483	5.743	5.849	
16/10/2019	13:19:41	60.00		5.4301	5.2764	5.2581	5.9767	31.000	31.000	31.000	31.000	1008.06	58.476	---	---	---	22.028	22.385	22.190	20.796	59.412	29.457	39.895	40.846	4.656	6.408	5.733	5.859	
16/10/2019	13:19:51	70.00		5.4387	5.2611	5.2677	5.9538	31.000	31.000	31.000	31.000	1008.02	58.506	---	---	---	22.010	22.417	22.170	20.837	59.404	29.449	39.866	40.844	4.644	6.448	5.727	5.809	
16/10/2019	13:20:01	80.00		5.4506	5.2781	5.2831	5.9694	31.000	31.000	31.000	31.000	1008.09	58.537	---	---	---	21.986	22.381	22.138	20.809	59.399	29.449	39.854	40.838	4.638	6.445	5.726	5.869	
16/10/2019	13:20:11	90.00		5.4337	5.2639	5.2645	5.9570	31.000	31.000	31.000	31.000	1008.11	58.462	---	---	---	22.021	22.411	22.177	20.832	59.327	29.423	39.868	40.873	4.650	6.470	5.717	5.854	
16/10/2019	13:20:21	100.00		5.4436	5.2648	5.2767	5.9763	31.000	31.000	31.000	31.000	1008.06	58.422	---	---	---	22.000	22.409	22.152	20.797	59.340	29.440	39.851	40.912	4.668	6.467	5.745	5.862	
16/10/2019	13:20:31	110.00		5.4474	5.2647	5.2804	5.9852	31.000	31.000	31.000	31.000	1008.04	58.453	---	---	---	21.992	22.410	22.144	20.780	59.346	29.442	39.823	40.999	4.672	6.475	5.730	5.851	
16/10/2019	13:20:41	120.00		5.4353	5.2813	5.2828	5.9602	31.000	31.000	31.000	31.000	1008.09	58.441	---	---	---	22.017	22.374	22.139	20.826	59.325	29.418	39.831	41.021	4.653	6.463	5.736	5.858	
16/10/2019	13:20:51	130.00		5.4388	5.2614	5.2752	5.9399	31.000	31.000	31.000	31.000	1008.08	58.453	---	---	---	22.010	22.417	22.155	20.863	59.320	29.410	39.821	41.030	4.686	6.441	5.730	5.871	
16/10/2019	13:21:01	140.00		5.4553	5.2672	5.2878	5.9371	31.000	31.000	31.000	31.000	1008.01	58.422	---	---	---	21.976	22.404	22.129	20.868	59.291	29.422	39.796	41.068	4.656	6.460	5.738	5.848	
16/10/2019	13:27:00	499.47		5.4552	5.2697	5.2829	5.9454	31.000	31.000	31.000	31.000	1008.07	58.410	---	---	---	21.976	22.399	22.139	20.853	59.315	29.423	39.770	41.071	4.641	6.439	5.766	5.875	
16/10/2019	13:27:10	509.47		5.4634	5.2918	5.2861	5.9543	31.000	31.000	31.000	31.000	1008.01	58.361	---	---	---	21.960	22.352	22.132	20.837	59.302	29.422	39.773	41.060	4.667	6.463	5.726	5.835	
16/10/2019	13:27:20	519.47		5.4486	5.2854	5.2816	5.9218	31.000	31.000	31.000	31.000	1008.03	58.422	---	---	---	21.990	22.366	22.142	20.896	59.331	29.420	39.736	41.110	4.685	6.476	5.740	5.859	
16/10/2019	13:27:30	529.47		5.4627	5.2689	5.3049	5.9550	31.000	31.000	31.000	31.000	1008.03	58.453	---	---	---	21.961	22.401	22.094	20.835	59.289	29.414	39.763	41.099	4.640	6.462	5.719	5.833	
16/10/2019	13:27:40	539.47		5.4600	5.2853	5.2974	5.9548	31.000	31.000	31.000	31.000	1007.99	58.453	---	---	---	21.966	22.366	22.109	20.836	59.305	29.391	39.770	41.123	4.686	6.461	5.793	5.883	
16/10/2019	13:27:50	549.47		5.4527	5.2902	5.2933	5.9629	31.000	31.000	31.000	31.000	1008.01	58.453	---	---	---	21.982	22.355	22.118	20.821	59.276	29.363	39.742	41.108	4.675	6.457	5.751	5.862	
16/10/2019	13:28:00	559.47		5.4573	5.2777	5.3049	5.9721	31.000	31.000	31.000	31.000	1008.05	58.462	---	---	---	21.972	22.382	22.094	20.804	59.285	29.368	39.739	41.169	4.659	6.481	5.737	5.854	
16/10/2019	13:28:10	569.47		5.4514	5.2976	5.3033	5.9621	31.000	31.000	31.000	31.000	1008.09	58.494	---	---	---	21.984	22.340	22.098	20.822	59.292	29.353	39.723	41.142	4.698	6.469	5.772	5.868	
16/10/2019	13:28:20	579.47		5.4485	5.2785	5.2824	5.9649	31.000	31.000	31.000	31.000	1008.03	58.537	---	---	---	21.990	22.380	22.140	20.817	59.302	29.328	39.721	41.170	4.668	6.450	5.742	5.869	
16/10/2019	13:28:30	589.47		5.4542	5.3097	5.3087	5.9757	31.000	31.000	31.000	31.000	1008.05	58.537	---	---	---	21.978	22.314	22.087	20.798	59.327	29.333	39.725	41.133	4.672	6.490	5.756	5.834	
16/10/2019	13:28:40	599.47		5.4499	5.2654	5.2963	5.9597	31.000	31.000	31.000	31.000	1008.04	58.453	---	---	---	21.987	22.408	22.112	20.827	59.301	29.329	39.722	41.165	4.645	6.471	5.724	5.857	
16/10/2019	13:28:50	609.47		5.4488	5.2921	5.3000	5.9715	31.000	31.000	31.000	31.000	1008.04	58.462	---	---	---	21.989	22.351	22.104	20.805	59.294	29.319	39.692	41.165	4.657	6.483	5.727	5.835	
16/10/2019	13:29:00	619.47		5.4540	5.2987	5.2916	5.9739	31.000	31.000	31.000	31.000	1008.07	58.447	---	---	---	21.979	22.337	22.121	20.801	59.323	29.329	39.710	41.164	4.660	6.479	5.762	5.851	
16/10/2019	13:29:10	629.47		5.4599	5.2875	5.3070	5.9788	31.000	31.000	31.000	31.000	1007.99	58.404	---	---	---	21.967	22.361	22.090	20.792	59.320	29.300	39.682	41.172	4.650	6.467	5.719	5.833	
16/10/2019	13:29:20	639.47		5.4618	5.2995	5.3177	5.9905	31.000	31.000	31.000	31.000	1008.06	58.422	---	---	---	21.963	22.336	22.068	20.770	59.311	29.328	39.684	41.177	4.690	6.444	5.765	5.875	
16/10/2019	13:29:30	649.47		5.4693	5.2978	5.3140	6.0091	31.000	31.000	31.000	31.000	1008.06	58.445	---	---	---	21.948	22.339	22.076	20.737	59.312	29.321	39.673	41.148	4.678	6.446	5.739	5.856	
16/10/2019	13:29:40	659.47		5.4553	5.3022	5.3092	6.0010	31.000	31.000	31.000	31.000	1008.00	58.512	---	---	---	21.976	22.330	22.085	20.751	59.299	29.284	39.680	41.138	4.682	6.462	5.739	5.862	
16/10/2019	13:29:50	669.47		5.4633	5.2981	5.3087	6.0061	31.000	31.000	31.000	31.000	1008.03	58.471	---	---	---	21.960	22.338	22.086	20.742	59.312	29.293	39.653	41.174	4.652	6.490	5.748	5.885	
16/10/2019	13:30:00	679.47		5.4766	5.3077	5.3034	6.0208	31.000	31.000	31.000	31.000	1008.00	58.482	---	---	---	21.933	22.318	22.097	20.716	59.299	29.274	39.633	41.229	4.645	6.443	5.759	5.868	
16/10/2019	13:30:10	689.47		5.4842	5.2959	5.3125	6.0149	31.000	31.000	31.000	31.000	1008.03	58.506	---	---	---	21.917	22.343	22.079	20.727	59.324	29.290	39.669	41.222	4.664	6.502	5.780	5.862	
16/10/2019	13:30:20	699.47		5.4705	5.2992	5.2957	5.9914	31.000	31.000	31.000	31.000	1008.01	58.467	---	---	---	21.945	22.336	22.113	20.769	59.295	29.275	39.651	41.270	4.649	6.462	5.720	5.819	
16/10/2019	13:30:30	709.47		5.4635	5.3106	5.3007	6.0341	31.000	31.000	31.000	31.000	1008.03	58.422	---	---	---	21.959	22.312	22.103	20.692	59.295	29.268	39.675	41.255	4.658	6.464	5.742	5.863	
16/10/2019	13:30:40	719.47		5.4689	5.3166	5.3174	6.0234	31.000	31.000	31.000	31.000	1008.01	58.422	---	---	---	21.949	22.300	22.069	20.711	59.293	29.264	39.634	41.233	4.664	6.470	5.730	5.850	
16/10/2019	13:30:50	729.47		5.4685	5.3029	5.3068	6.0135	31.000	31.000	31.000	31.000	1007.96	58.434	---	---	---	21.949	22.328	22.090	20.729	59.320	29.273	39.634	41.299	4.663	6.465	5.731	5.849	
16/10/2019	13:31:00	739.47		5.4756	5.3045	5.3117	6.0327	31.000	31.000	31.000	31.000	1007.98	58.398	---	---	---	21.935	22.325	22.081	20.694	59.295	29.249	39.607	41.338	4.694	6.464	5.762	5.874	
16/10/2019	13:31:10	749.47		5.4742	5.3209	5.3154	6.0074	31.000	31.000	31.000	31.000	1008.02	58.331	---	---	---	21.938	22.291	22.073	20.740	59.289	29.252	39.593	41.426	4.684	6.490	5.764	5.926	
16/10/2019	13:31:20	759.47		5.4665	5.2972	5.3135	6.0113	31.000	31.000	31.000	31.000	1007.98	58.416	---	---	---	21.953	22.341	22.077	20.733	59.280	29.276	39.615	41.427	4.676	6.463	5.745	5.896	
16/10/2019	13:31:30	769.47		5.4845	5.3025	5.3254	6.0248	31.000	31.000	31.000	31.000	1007.97	58.404	---	---	---	21.917	22.329	22.053	20.709	59.301	29.240	39.599	41.395	4.672	6.459	5.708	5.858	
16/10/2019	13:31:40	779.47		5.4722	5.3023	5.3273	6.0082	31.000	31.000	31.000	31.000	1007.98	58.319	---	---	---	21.942	22.329	22.049	20.738	59.255	29.269	39.601	41.419	4.636	6.455	5.730	5.839	
16/10/2019	13:31:50	789.47		5.4811	5.3029	5.3160	5.9924	31.000	31.000	31.000	31.000	1008.00	58.325	---	---	---	21.924	22.328	22.072	20.767	59.263	29.269	39.602	41.405	4.652	6.448	5.741	5.875	
16/10/2019	13:32:00	799.47		5.4743	5.3045	5.3154	5.9955	31.000	31.000	31.000	31.000	1007.93	58.422	---	---	---	21.938	22.325	22.073	20.762	59.274	29.252	39.591	41.523	4.669	6.447	5.726	5.856	
16/10/2019	13:32:10	809.47		5.4810	5.2998	5.3250	6.0085	31.000	31.000	31.000	31.000	1007.95	58.410	---	---	---	21.924	22.335	22.054	20.738	59.263	29.249	39.589	41.511	4.656	6.484	5.760	5.859	
16/10/2019	13:32:20	819.47		5.4779	5.3111	5.3352	5.9863	31.000	31.000	31.000	31.000	1008.00	58.422	---	---	---	21.930	22.311	22.033	20.778	59.276	29.255	39.585	41.536	4.650	6.485	5.740	5.875	
16/10/2019	13:32:30	829.47		5.4773	5.2890	5.3316	5.9952	31.000	31.000	31.000	31.000	1007.99	58.361	---	---	---	21.931	22.358	22.040	20.762	59.281	29.255	39.593	41.498	4.661	6.494	5.728	5.866	
16/10/2019	13:32:40	839.47		5.4812	5.2893	5.3159	5.9940	31.000	31.000	31.000	31.000	1008.02	58.456	---	---	---	21.923	22.357	22.072	20.764	59.273	29.245	39.561	41.549	4.683	6.455	5.728	5.895	
16/10/2019	13:32:50	849.47		5.4876	5.3215	5.3310	5.9959	31.000	31.000	31.000	31.000	1008.00	58.525	---	---	---	21.910	22.289	22.042	20.761	59.286	29.227	39.593	41.516	4.671	6.457	5.726	5.837	
16/10/2019	13:33:00	859.47		5.4793	5.3126	5.3298	5.9967	31.000	31.000	31.000	31.000	1007.99	58.355	---	---	---	21.927	22.308	22.044	20.759	59.262	29.229	39.588	41.525	4.670	6.469	5.757	5.868	
16/10/2019	13:33:10	869.47		5.4870	5.3093	5.3145	5.9849	31.000	31.000	31.000	31.000	1007.99	58.325	---	---	---	21.912	22.315	22.075	20.781	59.251	29.233	39.566	41.523	4.673	6.486	5.746	5.843	
16/10/2019	13:33:20	879.47		5.4738	5.3243	5.3100	5.9786	31.000	31.000	31.000	31.000	1008.00	58.349	---	---	---	21.938	22.283	22.084	20.792	59.258	29.213	39.581	41.575	4.678	6.462	5.727	5.878	
16/10/2019	13:33:30	889.47		5.4778	5.3174	5.3257	6.0036	31.000	31.000	31.000	31.000	1007.95	58.361	---	---	---	21.930	22.298	22.052	20.747	59.288	29.241	39.573	41.575	4.672	6.475	5.760	5.842	
16/10/2019	13:33:40	899.47		5.4830	5.2792	5.3354	5.9856	31.000	31.000	31.000	31.000	1007.96	58.361	---	---	---	21.920	22.379	22.033	20.780	59.260	29.273	39.566	41.596	4.660	6.447	5.751	5.856	
16/10/2019	13:33:50	909.47		5.4833	5.3133	5.3219	5.9751	31.000	31.000	31.000	31.000	1008.00	58.361	---	---	---	21.919	22.307	22.060	20.798	59.286	29.256	39.552	41.587	4.650	6.462	5.740	5.883	
16/10/2019	13:34:00	919.47		5.4932	5.3077	5.3299	5.9723	31.000	31.000	31.000	31.000	1007.97	58.349	---	---	---	21.899	22.319	22.044	20.804	59.309	29.244	39.545	41.579	4.652	6.460	5.714	5.879	
16/10/2019	13:34:10	929.47		5.4944	5.3045	5.3251	5.9840	31.000	31.000	31.000	31.000	1007.97	58.361	---	---	---	21.897	22.325	22.054	20.782	59.284	29.255	39.563	41.610	4.690	6.473	5.737	5.839	
16/10/2019	13:34:20	939.47		5.4786	5.3146	5.3140	5.9900	31.000	31.000	31.000	31.000	1007.98	58.312	---	---	---	21.929	22.304	22.076	20.771	59.294	29.240	39.544	41.682	4.667	6.459	5.795	5.858	
16/10/2019	13:34:30	949.47		5.4919	5.3159	5.3337	5.9874	31.000	31.000	31.000	31.000	1007.98	58.300	---	---	---	21.902	22.301	22.036	20.776	59.275	29.239	39.544	41.712	4.668	6.455	5.764	5.857	
16/10/2019	13:34:40	959.47		5.4905	5.3135	5.3395	6.0192	31.000	31.000	31.000	31.000	1007.97	58.270	---	---	---	21.904	22.306	22.024	20.718	59.290	29.215	39.560	41.708	4.666	6.446	5.746	5.870	
16/10/2019	13:34:50	969.47		5.4768	5.3123	5.3262	5.9880	31.000	31.000	31.000	31.000	1007.99	58.337	---	---	---	21.932	22.309	22.051	20.775	59.289	29.228	39.534	41.687	4.673	6.458	5.766	5.854	
16/10/2019	13:35:00	979.47		5.4933	5.3171	5.3239	6.0089	31.000	31.000	31.000	31.000	1008.03	58.288	---	---	---	21.899	22.299	22.056	20.737	59.291	29.211	39.559	41.761	4.629	6.454	5.701	5.861	
16/10/2019	13:35:10	989.47		5.4985	5.3065	5.3364	6.0057	31.000	31.000	31.000	31.000	1008.01	58.270	---	---	---	21.888	22.321	22.031	20.743	59.288	29.191	39.545	41.806	4.671	6.460	5.708	5.822	
16/10/2019	13:35:20	999.47		5.4946	5.3242	5.3381	6.0092	31.000	31.000	31.000	31.000	1007.97	58.245	---	---	---	21.896	22.284	22.027	20.737	59.285	29.210	39.523	41.852	4.652	6.442	5.760	5.874	
16/10/2019	13:35:30	1009.47		5.4833	5.3015	5.3558	5.9952	31.000	31.000	31.000	31.000	1008.01	58.239	---	---	---	21.919	22.332	21.992	20.762	59.293	29.212	39.535	41.918	4.647	6.446	5.722	5.878	
16/10/2019	13:35:40	1019.47		5.4961	5.3011	5.3458	5.9999	31.000	31.000	31.000	31.000	1007.96	58.258	---	---	---	21.893	22.332	22.012	20.753	59.289	29.220	39.536	41.900	4.651	6.462	5.699	5.851	
16/10/2019	13:35:50	1029.47		5.4944	5.3099	5.3332	5.9790	31.000	31.000	31.000	31.000	1007.92	58.264	---	---	---	21.897	22.314	22.037	20.791	59.286	29.224	39.523	41.875	4.656	6.455	5.732	5.867	
