
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.868	21.109	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.860	21.269	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.465	21.549	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.792	21.312	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	16/10/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
16/10/2019	13:16:49	0.00		5.1379	5.4306	5.2319	5.3331	31.000	31.000	31.000	31.000	1006.11	---	---	---	---	22.455	21.998	22.693	22.243	89.111	50.344	60.260	85.889	5.221	4.259	5.011	4.252	
16/10/2019	13:16:59	10.00		5.1515	5.4225	5.2285	5.3434	31.000	31.000	31.000	31.000	1006.09	---	---	---	---	22.426	22.014	22.701	22.221	89.049	50.295	60.229	85.848	5.214	4.240	5.015	4.251	
16/10/2019	13:17:09	20.00		5.1655	5.4321	5.2432	5.3478	31.000	31.000	31.000	31.000	1006.07	---	---	---	---	22.395	21.995	22.669	22.212	88.961	50.288	60.225	85.853	5.208	4.247	5.036	4.252	
16/10/2019	13:17:19	30.00		5.1621	5.4318	5.2428	5.3395	31.000	31.000	31.000	31.000	1006.14	---	---	---	---	22.402	21.995	22.670	22.230	88.910	50.271	60.193	85.797	5.190	4.258	5.003	4.242	
16/10/2019	13:17:29	40.00		5.1792	5.4349	5.2606	5.3552	31.000	31.000	31.000	31.000	1006.08	---	---	---	---	22.366	21.989	22.632	22.197	88.808	50.224	60.122	85.824	5.203	4.248	5.002	4.244	
16/10/2019	13:17:39	50.00		5.1863	5.4408	5.2615	5.3462	31.000	31.000	31.000	31.000	1006.11	---	---	---	---	22.350	21.977	22.630	22.215	88.794	50.204	60.101	85.835	5.208	4.251	4.992	4.248	
16/10/2019	13:17:49	60.00		5.1814	5.4407	5.2633	5.3384	31.000	31.000	31.000	31.000	1006.11	---	---	---	---	22.361	21.977	22.626	22.232	88.736	50.184	60.044	85.820	5.195	4.258	5.009	4.255	
16/10/2019	13:17:59	70.00		5.1791	5.4514	5.2752	5.3558	31.000	31.000	31.000	31.000	1006.11	---	---	---	---	22.366	21.955	22.601	22.195	88.680	50.159	60.024	85.823	5.228	4.256	5.009	4.255	
16/10/2019	13:18:09	80.00		5.1856	5.4509	5.2648	5.3439	31.000	31.000	31.000	31.000	1006.07	---	---	---	---	22.351	21.956	22.623	22.220	88.698	50.122	60.039	85.844	5.223	4.246	4.992	4.252	
16/10/2019	13:18:19	90.00		5.1747	5.4560	5.2830	5.3393	31.000	31.000	31.000	31.000	1006.16	---	---	---	---	22.375	21.946	22.585	22.230	88.684	50.096	59.977	85.833	5.196	4.252	5.011	4.253	
16/10/2019	13:18:29	100.00		5.1914	5.4695	5.2900	5.3503	31.000	31.000	31.000	31.000	1006.14	---	---	---	---	22.339	21.918	22.570	22.207	88.722	50.074	59.978	85.816	5.191	4.249	5.006	4.246	
16/10/2019	13:18:39	110.00		5.1902	5.4726	5.2884	5.3513	31.000	31.000	31.000	31.000	1006.10	---	---	---	---	22.342	21.912	22.573	22.204	88.667	50.054	59.911	85.791	5.192	4.260	5.015	4.256	
16/10/2019	13:18:49	120.00		5.1869	5.4725	5.2923	5.3540	31.000	31.000	31.000	31.000	1006.12	---	---	---	---	22.349	21.912	22.565	22.199	88.656	50.020	59.895	85.803	5.179	4.249	4.992	4.244	
