
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.917	21.297	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.700	21.335	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	49.667	21.153	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	53.291	21.120	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	16/10/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
16/10/2019	17:21:49	0.00		4.5848	4.4814	4.6868	5.1992	31.000	31.000	31.000	31.000	1007.61	55.225	---	---	---	23.951	24.246	23.441	22.341	73.245	37.032	42.229	50.554	4.670	6.478	5.760	5.905	
16/10/2019	17:21:59	10.00		4.5859	4.4817	4.6840	5.2111	31.000	31.000	31.000	31.000	1007.61	55.195	---	---	---	23.947	24.245	23.447	22.315	73.271	37.034	42.251	50.537	4.663	6.459	5.743	5.871	
16/10/2019	17:22:09	20.00		4.5865	4.4905	4.6946	5.2123	31.000	31.000	31.000	31.000	1007.56	55.195	---	---	---	23.946	24.223	23.423	22.313	73.276	37.035	42.251	50.515	4.653	6.470	5.736	5.880	
16/10/2019	17:22:19	30.00		4.5849	4.4818	4.6842	5.2340	31.000	31.000	31.000	31.000	1007.67	55.195	---	---	---	23.950	24.245	23.447	22.266	73.268	37.071	42.236	50.493	4.682	6.488	5.729	5.874	
16/10/2019	17:22:29	40.00		4.5912	4.4824	4.6735	5.2262	31.000	31.000	31.000	31.000	1007.70	55.195	---	---	---	23.934	24.244	23.472	22.283	73.292	37.057	42.246	50.495	4.678	6.495	5.749	5.883	
16/10/2019	17:22:39	50.00		4.5812	4.4654	4.6745	5.2387	31.000	31.000	31.000	31.000	1007.66	55.195	---	---	---	23.960	24.287	23.470	22.256	73.297	37.040	42.271	50.468	4.665	6.458	5.719	5.850	
16/10/2019	17:22:49	60.00		4.5781	4.4719	4.6814	5.2249	31.000	31.000	31.000	31.000	1007.59	55.195	---	---	---	23.967	24.270	23.453	22.285	73.308	37.074	42.256	50.458	4.691	6.492	5.755	5.898	
16/10/2019	17:22:59	70.00		4.5787	4.4693	4.6823	5.2408	31.000	31.000	31.000	31.000	1007.60	55.213	---	---	---	23.966	24.277	23.451	22.251	73.315	37.074	42.263	50.432	4.662	6.464	5.740	5.871	
16/10/2019	17:23:09	80.00		4.5834	4.4773	4.6719	5.2408	31.000	31.000	31.000	31.000	1007.64	55.195	---	---	---	23.954	24.256	23.476	22.251	73.316	37.080	42.266	50.426	4.657	6.498	5.763	5.894	
16/10/2019	17:23:19	90.00		4.5812	4.4695	4.6841	5.2405	31.000	31.000	31.000	31.000	1007.62	55.195	---	---	---	23.959	24.277	23.447	22.252	73.314	37.063	42.264	50.399	4.663	6.481	5.763	5.902	
16/10/2019	17:23:29	100.00		4.5774	4.4626	4.6722	5.2468	31.000	31.000	31.000	31.000	1007.61	55.195	---	---	---	23.969	24.295	23.475	22.238	73.331	37.091	42.275	50.413	4.682	6.474	5.754	5.896	
16/10/2019	17:23:39	110.00		4.5822	4.4703	4.6762	5.2422	31.000	31.000	31.000	31.000	1007.60	55.177	---	---	---	23.957	24.275	23.466	22.248	73.328	37.078	42.273	50.385	4.671	6.487	5.740	5.885	
16/10/2019	17:23:49	120.00		4.5726	4.4678	4.6659	5.2441	31.000	31.000	31.000	31.000	1007.58	55.190	---	---	---	23.982	24.281	23.490	22.244	73.339	37.082	42.291	50.363	4.660	6.483	5.747	5.874	
16/10/2019	17:23:59	130.00		4.5818	4.4637	4.6694	5.2393	31.000	31.000	31.000	31.000	1007.63	55.135	---	---	---	23.958	24.292	23.482	22.254	73.358	37.083	42.283	50.364	4.677	6.473	5.776	5.862	
16/10/2019	17:24:09	140.00		4.5774	4.4612	4.6750	5.2510	31.000	31.000	31.000	31.000	1007.63	55.111	---	---	---	23.969	24.298	23.468	22.229	73.349	37.098	42.299	50.345	4.653	6.427	5.726	5.853	
16/10/2019	17:24:19	150.00		4.5766	4.4682	4.6597	5.2543	31.000	31.000	31.000	31.000	1007.58	55.068	---	---	---	23.971	24.280	23.505	22.222	73.319	37.112	42.307	50.360	4.682	6.486	5.737	5.851	
16/10/2019	17:24:29	160.00		4.5724	4.4617	4.6640	5.2562	31.000	31.000	31.000	31.000	1007.64	55.111	---	---	---	23.982	24.297	23.495	22.218	73.330	37.079	42.306	50.328	4.660	6.463	5.762	5.879	
16/10/2019	17:24:39	170.00		4.5826	4.4688	4.6616	5.2583	31.000	31.000	31.000	31.000	1007.62	55.111	---	---	---	23.956	24.279	23.500	22.213	73.325	37.095	42.294	50.333	4.677	6.461	5.754	5.844	
16/10/2019	17:24:49	180.00		4.5824	4.4652	4.6640	5.2506	31.000	31.000	31.000	31.000	1007.65	55.099	---	---	---	23.956	24.288	23.494	22.230	73.320	37.095	42.357	50.310	4.688	6.471	5.783	5.913	
16/10/2019	17:24:59	190.00		4.5840	4.4671	4.6690	5.2510	31.000	31.000	31.000	31.000	1007.65	55.080	---	---	---	23.952	24.283	23.482	22.229	73.266	37.104	42.321	50.291	4.676	6.492	5.784	5.872	
16/10/2019	17:25:09	200.00		4.5855	4.4777	4.6520	5.2575	31.000	31.000	31.000	31.000	1007.68	55.092	---	---	---	23.949	24.256	23.523	22.215	73.284	37.090	42.326	50.297	4.684	6.463	5.773	5.869	
16/10/2019	17:25:19	210.00		4.5832	4.4597	4.6542	5.2661	31.000	31.000	31.000	31.000	1007.66	55.031	---	---	---	23.955	24.302	23.517	22.197	73.238	37.088	42.358	50.296	4.670	6.459	5.748	5.825	
16/10/2019	17:25:29	220.00		4.5833	4.4665	4.6526	5.2651	31.000	31.000	31.000	31.000	1007.65	55.050	---	---	---	23.954	24.285	23.521	22.199	73.226	37.097	42.362	50.233	4.689	6.477	5.741	5.892	
16/10/2019	17:25:39	230.00		4.5875	4.4641	4.6666	5.2559	31.000	31.000	31.000	31.000	1007.69	54.911	---	---	---	23.944	24.291	23.488	22.219	73.207	37.082	42.360	50.282	4.657	6.467	5.749	5.864	
16/10/2019	17:25:49	240.00		4.5879	4.4579	4.6565	5.2651	31.000	31.000	31.000	31.000	1007.65	54.935	---	---	---	23.943	24.307	23.512	22.199	73.220	37.088	42.330	50.236	4.644	6.452	5.731	5.859	
16/10/2019	17:25:59	250.00		4.6028	4.4642	4.6528	5.2832	31.000	31.000	31.000	31.000	1007.65	54.947	---	---	---	23.905	24.290	23.521	22.161	73.217	37.084	42.370	50.245	4.672	6.490	5.737	5.889	
16/10/2019	17:26:09	260.00		4.5937	4.4683	4.6526	5.2710	31.000	31.000	31.000	31.000	1007.66	54.954	---	---	---	23.928	24.280	23.521	22.186	73.200	37.053	42.389	50.247	4.679	6.494	5.767	5.878	
16/10/2019	17:26:19	270.00		4.5858	4.4774	4.6474	5.2669	31.000	31.000	31.000	31.000	1007.68	55.015	---	---	---	23.948	24.257	23.534	22.195	73.204	37.066	42.376	50.233	4.681	6.473	5.756	5.863	
16/10/2019	17:26:29	280.00		4.5917	4.4808	4.6427	5.2597	31.000	31.000	31.000	31.000	1007.70	54.990	---	---	---	23.933	24.248	23.545	22.210	73.198	37.046	42.405	50.213	4.659	6.489	5.745	5.870	
16/10/2019	17:26:39	290.00		4.5800	4.4651	4.6539	5.2636	31.000	31.000	31.000	31.000	1007.66	54.979	---	---	---	23.963	24.288	23.518	22.202	73.217	37.074	42.419	50.189	4.682	6.445	5.779	5.870	
16/10/2019	17:26:49	300.00		4.5838	4.4759	4.6475	5.2806	31.000	31.000	31.000	31.000	1007.71	54.844	---	---	---	23.953	24.260	23.533	22.166	73.233	37.041	42.396	50.196	4.636	6.478	5.757	5.850	
16/10/2019	17:26:59	310.00		4.5807	4.4631	4.6422	5.2669	31.000	31.000	31.000	31.000	1007.72	54.905	---	---	---	23.961	24.293	23.546	22.195	73.206	37.090	42.407	50.187	4.647	6.468	5.742	5.853	
16/10/2019	17:27:09	320.00		4.5867	4.4718	4.6324	5.2694	31.000	31.000	31.000	31.000	1007.66	54.862	---	---	---	23.946	24.271	23.569	22.190	73.226	37.079	42.413	50.206	4.663	6.486	5.744	5.855	
16/10/2019	17:27:19	330.00		4.5836	4.4686	4.6430	5.2754	31.000	31.000	31.000	31.000	1007.70	54.801	---	---	---	23.953	24.279	23.544	22.177	73.235	37.071	42.414	50.181	4.674	6.500	5.724	5.883	
