
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.868	21.109	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.860	21.269	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.465	21.549	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.792	21.312	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	16/10/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
16/10/2019	17:20:02	0.00		4.5799	4.7644	4.4276	4.3498	31.000	31.000	31.000	31.000	1005.45	---	---	---	---	23.764	23.477	24.601	24.571	116.712	65.477	71.605	139.249	5.184	4.241	5.003	4.236	
16/10/2019	17:20:12	10.00		4.5849	4.7672	4.4392	4.3468	31.000	31.000	31.000	31.000	1005.51	---	---	---	---	23.751	23.471	24.571	24.579	116.692	65.489	71.560	139.249	5.198	4.241	4.995	4.238	
16/10/2019	17:20:22	20.00		4.5882	4.7748	4.4351	4.3482	31.000	31.000	31.000	31.000	1005.55	---	---	---	---	23.743	23.452	24.581	24.575	116.637	65.457	71.566	139.233	5.168	4.234	4.990	4.244	
16/10/2019	17:20:32	30.00		4.5834	4.7660	4.4362	4.3503	31.000	31.000	31.000	31.000	1005.50	---	---	---	---	23.755	23.474	24.578	24.570	116.663	65.458	71.511	139.261	5.206	4.237	4.986	4.243	
16/10/2019	17:20:42	40.00		4.5856	4.7616	4.4471	4.3440	31.000	31.000	31.000	31.000	1005.51	---	---	---	---	23.750	23.484	24.550	24.587	116.648	65.448	71.520	139.299	5.205	4.259	5.005	4.253	
16/10/2019	17:20:52	50.00		4.5911	4.7668	4.4431	4.3483	31.000	31.000	31.000	31.000	1005.49	---	---	---	---	23.736	23.471	24.560	24.575	116.632	65.426	71.475	139.309	5.201	4.252	5.000	4.250	
16/10/2019	17:21:02	60.00		4.5890	4.7700	4.4491	4.3450	31.000	31.000	31.000	31.000	1005.50	---	---	---	---	23.741	23.464	24.545	24.584	116.585	65.424	71.497	139.330	5.189	4.249	5.011	4.241	
16/10/2019	17:21:12	70.00		4.5928	4.7696	4.4477	4.3414	31.000	31.000	31.000	31.000	1005.51	---	---	---	---	23.732	23.465	24.549	24.594	116.576	65.385	71.519	139.365	5.198	4.235	4.993	4.236	
16/10/2019	17:21:22	80.00		4.5970	4.7683	4.4323	4.3426	31.000	31.000	31.000	31.000	1005.60	---	---	---	---	23.721	23.468	24.589	24.591	116.568	65.391	71.529	139.404	5.206	4.252	5.018	4.247	
16/10/2019	17:21:32	90.00		4.5964	4.7642	4.4403	4.3430	31.000	31.000	31.000	31.000	1005.52	---	---	---	---	23.723	23.478	24.568	24.590	116.519	65.350	71.537	139.433	5.197	4.252	5.002	4.258	
16/10/2019	17:21:42	100.00		4.5951	4.7789	4.4339	4.3381	31.000	31.000	31.000	31.000	1005.53	---	---	---	---	23.726	23.442	24.584	24.603	116.500	65.328	71.532	139.432	5.219	4.244	4.997	4.246	
16/10/2019	17:21:52	110.00		4.5964	4.7893	4.4363	4.3359	31.000	31.000	31.000	31.000	1005.47	---	---	---	---	23.723	23.418	24.578	24.609	116.467	65.350	71.553	139.461	5.172	4.250	4.986	4.241	
16/10/2019	17:22:02	120.00		4.6009	4.7667	4.4314	4.3415	31.000	31.000	31.000	31.000	1005.49	---	---	---	---	23.711	23.472	24.591	24.594	116.424	65.307	71.564	139.531	5.200	4.254	4.999	4.249	
