
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.868	21.109	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.860	21.269	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.465	21.549	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.792	21.312	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	17/10/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
17/10/2019	10:25:56	0.00		5.7282	5.8836	5.8324	5.9884	27.000	27.000	27.000	27.000	1009.30	---	---	---	---	22.359	22.222	22.601	22.067	97.457	58.815	70.151	121.386	5.201	4.238	5.020	4.252	
17/10/2019	10:26:06	10.00		5.7377	5.8868	5.8356	5.9953	27.000	27.000	27.000	27.000	1009.29	---	---	---	---	22.341	22.216	22.594	22.054	97.437	58.824	70.147	121.368	5.162	4.241	5.002	4.250	
17/10/2019	10:26:16	20.00		5.7473	5.8877	5.8314	5.9977	27.000	27.000	27.000	27.000	1009.27	---	---	---	---	22.322	22.214	22.602	22.049	97.427	58.788	70.109	121.367	5.198	4.244	5.017	4.259	
17/10/2019	10:26:26	30.00		5.7358	5.8852	5.8462	5.9964	27.000	27.000	27.000	27.000	1009.30	---	---	---	---	22.345	22.219	22.574	22.052	97.407	58.793	70.116	121.354	5.237	4.239	5.031	4.262	
17/10/2019	10:26:36	40.00		5.7415	5.8884	5.8467	6.0028	27.000	27.000	27.000	27.000	1009.33	---	---	---	---	22.333	22.213	22.573	22.040	97.406	58.787	70.099	121.348	5.194	4.237	4.999	4.258	
17/10/2019	10:26:46	50.00		5.7437	5.8902	5.8499	5.9970	27.000	27.000	27.000	27.000	1009.37	---	---	---	---	22.329	22.209	22.567	22.051	97.375	58.778	70.090	121.306	5.177	4.234	4.983	4.242	
17/10/2019	10:26:56	60.00		5.7304	5.9064	5.8423	5.9929	27.000	27.000	27.000	27.000	1009.37	---	---	---	---	22.355	22.179	22.582	22.059	97.341	58.757	70.097	121.311	5.198	4.234	4.995	4.252	
17/10/2019	10:27:06	70.00		5.7415	5.9033	5.8327	6.0038	27.000	27.000	27.000	27.000	1009.30	---	---	---	---	22.333	22.184	22.600	22.038	97.350	58.754	70.080	121.296	5.182	4.253	5.021	4.258	
17/10/2019	10:27:16	80.00		5.7484	5.8949	5.8379	5.9996	27.000	27.000	27.000	27.000	1009.27	---	---	---	---	22.320	22.201	22.590	22.046	97.336	58.741	70.079	121.284	5.209	4.245	5.009	4.246	
17/10/2019	10:27:26	90.00		5.7428	5.8997	5.8463	6.0032	27.000	27.000	27.000	27.000	1009.32	---	---	---	---	22.331	22.191	22.574	22.040	97.278	58.722	70.051	121.276	5.190	4.247	5.004	4.250	
17/10/2019	10:27:36	100.00		5.7553	5.9101	5.8499	5.9989	27.000	27.000	27.000	27.000	1009.56	---	---	---	---	22.306	22.172	22.567	22.048	97.289	58.745	70.039	121.249	5.160	4.230	4.992	4.227	
17/10/2019	10:27:46	110.00		5.7541	5.8993	5.8461	6.0119	27.000	27.000	27.000	27.000	1009.31	---	---	---	---	22.309	22.192	22.574	22.023	97.294	58.715	70.059	121.242	5.159	4.224	4.963	4.218	
17/10/2019	10:27:56	120.00		5.7501	5.9093	5.8471	5.9967	27.000	27.000	27.000	27.000	1009.34	---	---	---	---	22.317	22.173	22.572	22.051	97.265	58.711	70.042	121.237	5.151	4.221	4.972	4.220	
