
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.917	21.297	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	52.700	21.335	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	49.667	21.153	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1013	100.000	20.950	53.291	21.120	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	17/10/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
17/10/2019	10:27:06	0.00		5.9236	5.9820	---	6.1419	27.000	27.000	27.000	27.000	1011.37	58.380	---	---	---	22.175	22.101	27.824	21.594	63.073	27.117	0.037	45.298	4.674	6.456	5.870	6.148	
17/10/2019	10:27:16	10.00		5.9242	5.9746	---	6.1420	27.000	27.000	27.000	27.000	1011.32	58.422	---	---	---	22.174	22.115	106.951	21.594	63.058	27.124	0.045	45.304	4.679	6.477	5.889	6.408	
17/10/2019	10:27:26	20.00		5.9348	5.9824	---	6.1568	27.000	27.000	27.000	27.000	1011.35	58.404	---	---	---	22.154	22.101	116.522	21.567	63.093	27.136	0.052	45.222	4.637	6.485	5.806	5.889	
17/10/2019	10:27:36	30.00		5.9364	5.9708	---	6.1367	27.000	27.000	27.000	27.000	1011.44	58.422	---	---	---	22.151	22.122	130.478	21.604	63.042	27.109	0.048	45.207	4.669	6.465	5.753	5.831	
17/10/2019	10:27:46	40.00		5.9304	5.9847	---	6.1432	27.000	27.000	27.000	27.000	1011.28	58.440	---	---	---	22.162	22.096	12.667	21.592	63.024	27.121	0.056	45.207	4.655	6.459	5.738	5.813	
17/10/2019	10:27:56	50.00		5.9388	5.9670	---	6.1573	27.000	27.000	27.000	27.000	1011.32	58.404	---	---	---	22.146	22.129	81.832	21.566	63.018	27.112	0.046	45.202	4.646	6.455	5.720	5.817	
17/10/2019	10:28:06	60.00		5.9392	5.9597	---	6.1490	27.000	27.000	27.000	27.000	1011.28	58.392	---	---	---	22.145	22.143	100.563	21.581	63.011	27.125	0.063	45.183	4.656	6.462	5.777	5.830	
17/10/2019	10:28:16	70.00		5.9377	5.9807	---	6.1419	27.000	27.000	27.000	27.000	1011.29	58.373	---	---	---	22.148	22.104	125.469	21.594	62.988	27.128	0.051	45.173	4.680	6.439	5.731	5.818	
17/10/2019	10:28:26	80.00		5.9421	5.9780	---	6.1542	27.000	27.000	27.000	27.000	1011.28	58.392	---	---	---	22.140	22.109	73.068	21.572	63.020	27.110	0.048	45.152	4.653	6.472	5.736	5.833	
17/10/2019	10:28:36	90.00		5.9401	5.9785	---	6.1469	27.000	27.000	27.000	27.000	1011.32	58.422	---	---	---	22.144	22.108	68.687	21.585	62.980	27.114	0.034	45.144	4.655	6.471	5.716	5.830	
17/10/2019	10:28:46	100.00		5.9406	5.9746	---	6.1563	27.000	27.000	27.000	27.000	1011.30	58.392	---	---	---	22.143	22.115	10.204	21.568	62.934	27.093	0.043	45.110	4.681	6.494	5.749	5.846	
17/10/2019	10:28:56	110.00		5.9488	5.9839	---	6.1682	27.000	27.000	27.000	27.000	1011.29	58.404	---	---	---	22.127	22.098	0.809	21.547	62.941	27.092	0.057	45.119	4.692	6.485	5.785	5.843	
17/10/2019	10:29:06	120.00		5.9416	5.9820	---	6.1627	27.000	27.000	27.000	27.000	1011.25	58.392	---	---	---	22.141	22.102	137.523	21.556	62.944	27.099	0.037	45.122	4.674	6.475	5.766	5.819	
17/10/2019	10:29:16	130.00		5.9523	5.9900	---	6.1676	27.000	27.000	27.000	27.000	1011.25	58.386	---	---	---	22.121	22.086	-47.114	21.548	62.933	27.094	0.048	45.116	4.660	6.449	5.730	5.823	
