
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.328	21.424	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.623	19.849	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.578	21.344	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.622	19.972	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	19/11/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
19/11/2019	18:36:14	0.00		6.4080	6.1522	6.3725	6.3994	31.000	31.000	31.000	31.000	1006.12	60.005	---	---	---	20.390	19.288	20.371	18.996	58.483	34.371	35.357	44.836	4.669	6.442	5.729	5.812	
19/11/2019	18:36:24	10.00		6.4167	6.1494	6.3799	6.3762	31.000	31.000	31.000	31.000	1006.18	59.998	---	---	---	20.376	19.293	20.359	19.034	58.456	34.342	35.372	44.851	4.644	6.430	5.717	5.814	
19/11/2019	18:36:34	20.00		6.4123	6.1413	6.3856	6.3744	31.000	31.000	31.000	31.000	1006.16	60.017	---	---	---	20.383	19.306	20.349	19.037	58.462	34.337	35.343	44.831	4.651	6.426	5.710	5.805	
19/11/2019	18:36:44	30.00		6.4073	6.1655	6.3826	6.3827	31.000	31.000	31.000	31.000	1006.15	60.035	---	---	---	20.391	19.265	20.354	19.023	58.420	34.340	35.327	44.802	4.653	6.441	5.734	5.793	
19/11/2019	18:36:54	40.00		6.4101	6.1620	6.3847	6.3825	31.000	31.000	31.000	31.000	1006.17	60.029	---	---	---	20.387	19.272	20.350	19.024	58.411	34.351	35.298	44.773	4.643	6.435	5.722	5.828	
19/11/2019	18:37:04	50.00		6.4250	6.1633	6.4085	6.3800	31.000	31.000	31.000	31.000	1006.15	60.011	---	---	---	20.362	19.269	20.310	19.028	58.386	34.324	35.283	44.782	4.615	6.407	5.722	5.788	
19/11/2019	18:37:14	60.00		6.4254	6.1570	6.3679	6.3955	31.000	31.000	31.000	31.000	1006.17	59.907	---	---	---	20.361	19.280	20.379	19.002	58.353	34.318	35.290	44.756	4.653	6.441	5.708	5.781	
19/11/2019	18:37:24	70.00		6.4256	6.1611	6.3968	6.3927	31.000	31.000	31.000	31.000	1006.17	59.931	---	---	---	20.361	19.273	20.330	19.007	58.355	34.307	35.277	44.737	4.633	6.418	5.706	5.772	
19/11/2019	18:37:34	80.00		6.4433	6.1703	6.4128	6.4038	31.000	31.000	31.000	31.000	1006.14	59.876	---	---	---	20.331	19.257	20.303	18.989	58.344	34.335	35.231	44.764	4.640	6.436	5.725	5.813	
19/11/2019	18:37:44	90.00		6.4430	6.1640	6.3865	6.4034	31.000	31.000	31.000	31.000	1006.27	59.944	---	---	---	20.332	19.268	20.347	18.990	58.314	34.308	35.226	44.706	4.652	6.408	5.720	5.812	
19/11/2019	18:37:54	100.00		6.4210	6.1523	6.4075	6.3912	31.000	31.000	31.000	31.000	1006.11	59.937	---	---	---	20.368	19.288	20.312	19.010	58.335	34.308	35.208	44.687	4.633	6.398	5.718	5.781	
19/11/2019	18:38:04	110.00		6.4281	6.1831	6.4184	6.4025	31.000	31.000	31.000	31.000	1006.13	59.919	---	---	---	20.357	19.236	20.293	18.991	58.280	34.300	35.203	44.701	4.629	6.434	5.727	5.823	
19/11/2019	18:38:14	120.00		6.4354	6.1653	6.3978	6.4092	31.000	31.000	31.000	31.000	1006.16	60.005	---	---	---	20.345	19.266	20.328	18.980	58.295	34.305	35.187	44.677	4.656	6.423	5.704	5.788	
