
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	52.829	21.472	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.631	21.249	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.316	21.754	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	52.845	21.441	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	19/11/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
19/11/2019	12:20:24	0.00		5.3295	5.1194	5.4094	5.3663	31.000	31.000	31.000	31.000	1005.00	---	---	---	---	22.468	22.710	22.593	22.359	103.653	57.226	70.749	118.485	5.175	4.241	4.978	4.227	
19/11/2019	12:20:34	10.00		5.3281	5.1325	5.4029	5.3650	31.000	31.000	31.000	31.000	1005.02	---	---	---	---	22.471	22.680	22.606	22.362	103.586	57.176	70.698	118.439	5.186	4.245	5.009	4.224	
19/11/2019	12:20:44	20.00		5.3388	5.1398	5.4178	5.3718	31.000	31.000	31.000	31.000	1005.00	---	---	---	---	22.448	22.664	22.575	22.348	103.482	57.086	70.646	118.307	5.192	4.250	5.008	4.227	
19/11/2019	12:20:54	30.00		5.3593	5.1437	5.4322	5.3846	31.000	31.000	31.000	31.000	1005.00	---	---	---	---	22.405	22.656	22.545	22.321	103.381	57.013	70.581	118.199	5.196	4.241	5.001	4.231	
19/11/2019	12:21:04	40.00		5.3647	5.1429	5.4423	5.3951	31.000	31.000	31.000	31.000	1004.95	---	---	---	---	22.394	22.657	22.524	22.299	103.279	56.967	70.513	118.093	5.174	4.253	5.019	4.221	
19/11/2019	12:21:14	50.00		5.3755	5.1728	5.4537	5.4033	31.000	31.000	31.000	31.000	1005.05	---	---	---	---	22.371	22.592	22.500	22.282	103.170	56.912	70.439	118.000	5.189	4.242	5.021	4.224	
19/11/2019	12:21:24	60.00		5.3755	5.1849	5.4606	5.4117	31.000	31.000	31.000	31.000	1004.99	---	---	---	---	22.371	22.565	22.486	22.265	103.060	56.851	70.400	117.956	5.201	4.245	5.010	4.229	
19/11/2019	12:21:34	70.00		5.3804	5.1743	5.4647	5.4250	31.000	31.000	31.000	31.000	1005.00	---	---	---	---	22.361	22.588	22.478	22.237	102.965	56.800	70.308	117.845	5.185	4.242	5.007	4.210	
19/11/2019	12:21:44	80.00		5.3970	5.1827	5.4697	5.4227	31.000	31.000	31.000	31.000	1004.96	---	---	---	---	22.327	22.570	22.467	22.242	102.838	56.749	70.264	117.754	5.183	4.242	5.010	4.241	
19/11/2019	12:21:54	90.00		5.4093	5.2076	5.4878	5.4343	31.000	31.000	31.000	31.000	1004.99	---	---	---	---	22.301	22.515	22.430	22.218	102.758	56.650	70.193	117.671	5.204	4.238	5.003	4.229	
19/11/2019	12:22:04	100.00		5.4169	5.2022	5.4994	5.4418	31.000	31.000	31.000	31.000	1004.97	---	---	---	---	22.285	22.527	22.406	22.203	102.632	56.606	70.136	117.569	5.176	4.234	5.000	4.239	
19/11/2019	12:22:14	110.00		5.4256	5.2222	5.5052	5.4500	31.000	31.000	31.000	31.000	1004.99	---	---	---	---	22.267	22.483	22.394	22.186	102.535	56.533	70.083	117.530	5.203	4.250	5.017	4.227	
19/11/2019	12:22:24	120.00		5.4385	5.2277	5.5004	5.4498	31.000	31.000	31.000	31.000	1004.99	---	---	---	---	22.241	22.471	22.404	22.186	102.432	56.477	70.043	117.473	5.189	4.248	5.015	4.233	
