
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	31.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	52.829	21.472	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.631	21.249	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.316	21.754	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	52.845	21.441	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	19/11/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
19/11/2019	18:35:02	0.00		6.3326	6.2484	6.3200	6.3936	31.000	31.000	31.000	31.000	1004.16	---	---	---	---	20.568	20.491	20.861	20.434	102.651	51.993	61.995	105.464	5.227	4.254	5.034	4.245	
19/11/2019	18:35:12	10.00		6.3391	6.2478	6.3291	6.3934	31.000	31.000	31.000	31.000	1004.19	---	---	---	---	20.557	20.492	20.845	20.435	102.622	52.017	61.986	105.352	5.235	4.258	5.046	4.248	
19/11/2019	18:35:22	20.00		6.3398	6.2368	6.3313	6.4006	31.000	31.000	31.000	31.000	1004.11	---	---	---	---	20.555	20.511	20.842	20.422	102.582	51.991	61.971	105.330	5.186	4.258	5.037	4.230	
19/11/2019	18:35:32	30.00		6.3335	6.2541	6.3340	6.4080	31.000	31.000	31.000	31.000	1004.20	---	---	---	---	20.566	20.481	20.837	20.410	102.577	52.008	61.954	105.336	5.251	4.263	5.053	4.252	
19/11/2019	18:35:42	40.00		6.3336	6.2539	6.3339	6.3992	31.000	31.000	31.000	31.000	1004.15	---	---	---	---	20.566	20.482	20.837	20.425	102.546	51.985	61.941	105.318	5.229	4.253	5.021	4.242	
19/11/2019	18:35:52	50.00		6.3441	6.2625	6.3385	6.4093	31.000	31.000	31.000	31.000	1004.16	---	---	---	---	20.548	20.467	20.829	20.408	102.500	51.966	61.936	105.310	5.220	4.255	5.031	4.262	
19/11/2019	18:36:02	60.00		6.3426	6.2677	6.3515	6.4108	31.000	31.000	31.000	31.000	1004.16	---	---	---	---	20.551	20.458	20.807	20.405	102.452	51.989	61.917	105.275	5.197	4.256	5.017	4.243	
19/11/2019	18:36:12	70.00		6.3445	6.2609	6.3436	6.4147	31.000	31.000	31.000	31.000	1004.27	---	---	---	---	20.547	20.469	20.820	20.399	102.421	51.943	61.914	105.357	5.198	4.244	5.017	4.226	
19/11/2019	18:36:22	80.00		6.3534	6.2668	6.3471	6.4132	31.000	31.000	31.000	31.000	1004.18	---	---	---	---	20.532	20.459	20.815	20.401	102.403	51.926	61.932	105.334	5.177	4.256	4.987	4.215	
19/11/2019	18:36:32	90.00		6.3637	6.2613	6.3570	6.4102	31.000	31.000	31.000	31.000	1004.21	---	---	---	---	20.515	20.469	20.798	20.406	102.387	51.939	61.933	105.331	5.205	4.231	5.004	4.238	
19/11/2019	18:36:42	100.00		6.3581	6.2647	6.3470	6.4111	31.000	31.000	31.000	31.000	1004.21	---	---	---	---	20.524	20.463	20.815	20.405	102.343	51.911	61.903	105.306	5.206	4.244	5.018	4.227	
19/11/2019	18:36:52	110.00		6.3601	6.2841	6.3540	6.4128	31.000	31.000	31.000	31.000	1004.26	---	---	---	---	20.521	20.429	20.803	20.402	102.333	51.904	61.906	105.300	5.190	4.250	5.007	4.226	
19/11/2019	18:37:02	120.00		6.3704	6.2740	6.3684	6.4172	31.000	31.000	31.000	31.000	1004.22	---	---	---	---	20.504	20.447	20.778	20.395	102.311	51.911	61.869	105.315	5.191	4.253	4.999	4.229	
