
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	31.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.328	21.424	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.623	19.849	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.578	21.344	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.622	19.972	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	19/11/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
19/11/2019	12:21:44	0.00		5.5463	5.4135	5.2947	5.4778	31.000	31.000	31.000	31.000	1006.90	59.028	---	---	---	21.978	20.656	22.423	20.652	57.741	40.515	46.620	53.015	4.623	6.424	5.686	5.773	
19/11/2019	12:21:54	10.00		5.5633	5.4141	5.2884	5.4961	31.000	31.000	31.000	31.000	1006.94	59.046	---	---	---	21.944	20.655	22.436	20.616	57.632	40.429	46.557	52.985	4.634	6.405	5.714	5.788	
19/11/2019	12:22:04	20.00		5.5687	5.4091	5.3069	5.4869	31.000	31.000	31.000	31.000	1006.92	59.052	---	---	---	21.933	20.665	22.397	20.634	57.558	40.412	46.546	52.964	4.667	6.428	5.723	5.791	
19/11/2019	12:22:14	30.00		5.5911	5.4251	5.3046	5.4939	31.000	31.000	31.000	31.000	1006.93	59.004	---	---	---	21.888	20.632	22.402	20.620	57.494	40.389	46.483	52.879	4.657	6.406	5.708	5.797	
19/11/2019	12:22:24	40.00		5.5827	5.4260	5.3228	5.5272	31.000	31.000	31.000	31.000	1006.92	58.955	---	---	---	21.905	20.631	22.363	20.554	57.398	40.365	46.462	52.839	4.639	6.446	5.727	5.789	
19/11/2019	12:22:34	50.00		5.5918	5.4064	5.3178	5.5123	31.000	31.000	31.000	31.000	1006.89	58.949	---	---	---	21.887	20.670	22.374	20.584	57.356	40.374	46.444	52.799	4.646	6.431	5.745	5.795	
19/11/2019	12:22:44	60.00		5.6117	5.4283	5.3300	5.5250	31.000	31.000	31.000	31.000	1006.90	58.955	---	---	---	21.847	20.626	22.348	20.559	57.270	40.311	46.379	52.773	4.632	6.429	5.716	5.776	
19/11/2019	12:22:54	70.00		5.6121	5.4328	5.3340	5.5310	31.000	31.000	31.000	31.000	1006.93	58.979	---	---	---	21.846	20.617	22.339	20.547	57.186	40.290	46.360	52.714	4.663	6.416	5.709	5.805	
19/11/2019	12:23:04	80.00		5.6296	5.4276	5.3518	5.5324	31.000	31.000	31.000	31.000	1006.93	59.016	---	---	---	21.811	20.628	22.302	20.544	57.139	40.290	46.338	52.638	4.656	6.451	5.691	5.808	
19/11/2019	12:23:14	90.00		5.6418	5.4358	5.3569	5.5608	31.000	31.000	31.000	31.000	1006.90	59.010	---	---	---	21.787	20.611	22.291	20.489	57.042	40.258	46.321	52.561	4.664	6.426	5.722	5.793	
19/11/2019	12:23:24	100.01		5.6471	5.4613	5.3674	5.5421	31.000	31.000	31.000	31.000	1006.96	58.949	---	---	---	21.777	20.560	22.269	20.525	57.008	40.214	46.296	52.555	4.662	6.440	5.755	5.805	
19/11/2019	12:23:34	110.00		5.6549	5.4566	5.3747	5.5759	31.000	31.000	31.000	31.000	1006.92	58.938	---	---	---	21.761	20.569	22.254	20.459	56.927	40.197	46.275	52.507	4.644	6.429	5.734	5.800	
19/11/2019	12:23:44	120.00		5.6656	5.4747	5.3755	5.5705	31.000	31.000	31.000	31.000	1006.95	58.949	---	---	---	21.740	20.534	22.252	20.470	56.883	40.171	46.262	52.456	4.655	6.443	5.724	5.807	
19/11/2019	12:23:54	130.00		5.6705	5.4602	5.3847	5.5596	31.000	31.000	31.000	31.000	1006.93	58.997	---	---	---	21.731	20.563	22.233	20.491	56.827	40.133	46.238	52.421	4.654	6.446	5.713	5.795	
19/11/2019	12:24:04	140.00		5.6772	5.4988	5.3872	5.5652	31.000	31.000	31.000	31.000	1007.04	58.979	---	---	---	21.718	20.486	22.227	20.480	56.771	40.109	46.215	52.388	4.619	6.436	5.719	5.792	
19/11/2019	12:24:14	150.00		5.6912	5.4805	5.3862	5.5840	31.000	31.000	31.000	31.000	1006.87	58.967	---	---	---	21.690	20.522	22.229	20.443	56.691	40.085	46.165	52.349	4.661	6.437	5.738	5.802	
19/11/2019	12:24:24	160.00		5.6983	5.4933	5.3855	5.5874	31.000	31.000	31.000	31.000	1006.86	58.950	---	---	---	21.676	20.497	22.231	20.437	56.671	40.062	46.167	52.336	4.641	6.428	5.719	5.798	
19/11/2019	12:24:34	170.00		5.6923	5.5082	5.3927	5.5945	31.000	31.000	31.000	31.000	1006.89	58.991	---	---	---	21.688	20.468	22.215	20.423	56.603	40.042	46.170	52.292	4.644	6.395	5.725	5.784	
19/11/2019	12:24:44	180.00		5.7193	5.4929	5.3981	5.6018	31.000	31.000	31.000	31.000	1006.89	58.957	---	---	---	21.635	20.498	22.204	20.409	56.540	40.003	46.133	52.249	4.638	6.404	5.703	5.802	
19/11/2019	12:24:54	190.00		5.7201	5.4863	5.3962	5.6025	31.000	31.000	31.000	31.000	1006.90	58.957	---	---	---	21.634	20.511	22.208	20.408	56.482	39.993	46.112	52.223	4.651	6.417	5.706	5.793	
19/11/2019	12:25:04	200.00		5.7251	5.5156	5.3997	5.5997	31.000	31.000	31.000	31.000	1006.89	58.979	---	---	---	21.624	20.453	22.201	20.413	56.446	39.993	46.104	52.217	4.650	6.441	5.706	5.820	
19/11/2019	12:25:14	210.00		5.7425	5.5274	5.4234	5.6119	31.000	31.000	31.000	31.000	1006.89	58.972	---	---	---	21.591	20.430	22.152	20.389	56.409	39.946	46.093	52.160	4.645	6.446	5.710	5.794	
19/11/2019	12:25:24	220.00		5.7449	5.5030	5.4112	5.6076	31.000	31.000	31.000	31.000	1006.92	58.957	---	---	---	21.586	20.478	22.177	20.398	56.367	39.942	46.066	52.129	4.642	6.420	5.704	5.797	
19/11/2019	12:25:34	230.00		5.7481	5.5091	5.4192	5.5962	31.000	31.000	31.000	31.000	1006.89	58.957	---	---	---	21.580	20.466	22.160	20.420	56.321	39.890	46.055	52.101	4.670	6.411	5.708	5.806	
19/11/2019	12:25:44	240.00		5.7687	5.5240	5.4342	5.6159	31.000	31.000	31.000	31.000	1006.91	58.923	---	---	---	21.540	20.437	22.129	20.382	56.244	39.863	46.036	52.075	4.670	6.442	5.755	5.806	
19/11/2019	12:25:54	250.00		5.7658	5.5206	5.4340	5.6292	31.000	31.000	31.000	31.000	1006.88	58.907	---	---	---	21.545	20.443	22.130	20.357	56.249	39.865	46.017	52.087	4.660	6.421	5.730	5.810	
19/11/2019	12:26:04	260.00		5.7769	5.5313	5.4440	5.6182	31.000	31.000	31.000	31.000	1006.93	58.907	---	---	---	21.524	20.422	22.109	20.377	56.188	39.835	45.974	52.058	4.649	6.440	5.713	5.824	
19/11/2019	12:26:14	270.00		5.7696	5.5279	5.4527	5.6492	31.000	31.000	31.000	31.000	1006.92	58.924	---	---	---	21.538	20.429	22.091	20.318	56.144	39.829	45.970	52.009	4.663	6.402	5.731	5.787	
19/11/2019	12:26:24	280.00		5.7903	5.5714	5.4424	5.6361	31.000	31.000	31.000	31.000	1006.88	58.920	---	---	---	21.499	20.344	22.112	20.343	56.102	39.784	45.942	51.988	4.653	6.436	5.719	5.780	
19/11/2019	12:26:34	290.00		5.7927	5.5675	5.4748	5.6714	31.000	31.000	31.000	31.000	1006.90	58.907	---	---	---	21.494	20.352	22.046	20.275	56.096	39.760	45.884	51.957	4.647	6.429	5.733	5.751	
19/11/2019	12:26:44	300.00		5.7895	5.5620	5.4592	5.6420	31.000	31.000	31.000	31.000	1006.83	58.912	---	---	---	21.500	20.362	22.077	20.332	56.043	39.766	45.848	51.945	4.648	6.441	5.684	5.773	
19/11/2019	12:26:54	310.00		5.8056	5.5817	5.4691	5.6488	31.000	31.000	31.000	31.000	1006.83	58.933	---	---	---	21.469	20.324	22.057	20.319	56.000	39.729	45.838	51.901	4.631	6.393	5.714	5.810	
19/11/2019	12:27:04	320.00		5.7940	5.5879	5.4765	5.6717	31.000	31.000	31.000	31.000	1006.90	58.889	---	---	---	21.491	20.312	22.042	20.275	55.996	39.662	45.829	51.881	4.636	6.419	5.720	5.813	
19/11/2019	12:27:14	330.00		5.8122	5.5782	5.4831	5.6628	31.000	31.000	31.000	31.000	1006.84	58.941	---	---	---	21.457	20.331	22.028	20.292	55.946	39.650	45.813	51.896	4.662	6.426	5.689	5.817	
19/11/2019	12:27:24	340.00		5.8283	5.5846	5.4743	5.6591	31.000	31.000	31.000	31.000	1006.84	58.920	---	---	---	21.426	20.319	22.047	20.299	55.922	39.614	45.775	51.876	4.638	6.412	5.694	5.823	
19/11/2019	12:27:34	350.00		5.8131	5.5869	5.4799	5.6816	31.000	31.000	31.000	31.000	1006.83	58.883	---	---	---	21.455	20.314	22.035	20.256	55.865	39.612	45.755	51.841	4.655	6.470	5.698	5.779	
19/11/2019	12:27:44	360.00		5.8256	5.6023	5.4892	5.6842	31.000	31.000	31.000	31.000	1006.83	58.895	---	---	---	21.431	20.284	22.016	20.251	55.872	39.592	45.741	51.795	4.655	6.449	5.707	5.791	
