
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	52.829	21.472	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.631	21.249	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.316	21.754	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	52.845	21.441	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	20/11/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
20/11/2019	19:37:28	0.00		5.6213	5.4327	5.3146	5.9125	27.000	27.000	27.000	27.000	1004.09	---	---	---	---	23.000	23.178	23.950	22.397	116.442	46.024	77.801	111.169	5.251	4.270	5.048	4.253	
20/11/2019	19:37:38	10.00		5.6208	5.4331	5.3182	5.9128	27.000	27.000	27.000	27.000	1004.11	---	---	---	---	23.001	23.177	23.942	22.396	116.464	46.017	77.808	111.166	5.235	4.261	5.037	4.246	
20/11/2019	19:37:48	20.00		5.6192	5.4313	5.3180	5.9123	27.000	27.000	27.000	27.000	1004.16	---	---	---	---	23.005	23.181	23.943	22.397	116.481	46.042	77.804	111.137	5.233	4.267	5.036	4.248	
20/11/2019	19:37:58	30.00		5.6204	5.4316	5.3111	5.9090	27.000	27.000	27.000	27.000	1004.15	---	---	---	---	23.002	23.180	23.958	22.403	116.493	46.021	77.812	111.142	5.204	4.250	5.034	4.245	
20/11/2019	19:38:08	40.00		5.6158	5.4320	5.3191	5.9070	27.000	27.000	27.000	27.000	1004.19	---	---	---	---	23.011	23.179	23.940	22.407	116.513	46.026	77.800	111.198	5.229	4.251	5.015	4.230	
20/11/2019	19:38:18	50.00		5.6147	5.4296	5.3143	5.9006	27.000	27.000	27.000	27.000	1004.18	---	---	---	---	23.014	23.184	23.951	22.419	116.528	46.036	77.782	111.272	5.209	4.252	5.033	4.253	
20/11/2019	19:38:28	60.00		5.6122	5.4309	5.3165	5.8921	27.000	27.000	27.000	27.000	1004.13	---	---	---	---	23.019	23.182	23.946	22.436	116.567	46.071	77.771	111.305	5.227	4.253	5.035	4.234	
20/11/2019	19:38:38	70.00		5.6123	5.4426	5.3268	5.9039	27.000	27.000	27.000	27.000	1004.20	---	---	---	---	23.019	23.157	23.923	22.413	116.569	46.055	77.803	111.393	5.218	4.255	5.045	4.253	
20/11/2019	19:38:48	80.00		5.6089	5.4256	5.3214	5.9006	27.000	27.000	27.000	27.000	1004.16	---	---	---	---	23.025	23.193	23.935	22.419	116.604	46.048	77.787	111.429	5.219	4.253	5.037	4.252	
20/11/2019	19:38:58	90.00		5.6089	5.4339	5.3243	5.8899	27.000	27.000	27.000	27.000	1004.19	---	---	---	---	23.026	23.175	23.929	22.440	116.593	46.029	77.768	111.497	5.214	4.235	4.997	4.237	
20/11/2019	19:39:08	100.00		5.5995	5.4230	5.3239	5.8918	27.000	27.000	27.000	27.000	1004.20	---	---	---	---	23.045	23.198	23.930	22.436	116.617	46.067	77.809	111.598	5.194	4.251	5.028	4.232	
20/11/2019	19:39:18	110.00		5.6003	5.4372	5.3159	5.8892	27.000	27.000	27.000	27.000	1004.17	---	---	---	---	23.043	23.168	23.947	22.441	116.617	46.073	77.807	111.706	5.189	4.260	5.027	4.249	
20/11/2019	19:39:28	120.00		5.6037	5.4251	5.3353	5.8814	27.000	27.000	27.000	27.000	1004.15	---	---	---	---	23.036	23.194	23.905	22.456	116.643	46.042	77.789	111.740	5.218	4.259	5.035	4.239	
