
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-541-210	2	OFF	27.000	OFF	1013	35.000	20%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	52.829	21.472	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.631	21.249	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.316	21.754	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	52.845	21.441	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	20/11/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
20/11/2019	16:06:44	0.00		5.2889	5.4204	5.5659	5.7912	27.000	27.000	27.000	27.000	1002.31	---	---	---	---	23.699	23.204	23.414	22.631	113.153	44.681	77.905	119.952	5.237	4.253	5.033	4.248	
20/11/2019	16:06:54	10.00		5.2900	5.3989	5.5709	5.7949	27.000	27.000	27.000	27.000	1002.24	---	---	---	---	23.697	23.250	23.404	22.624	113.149	44.673	77.942	119.969	5.210	4.250	5.012	4.229	
20/11/2019	16:07:04	20.00		5.2866	5.4078	5.5672	5.7913	27.000	27.000	27.000	27.000	1002.32	---	---	---	---	23.704	23.231	23.412	22.631	113.181	44.714	77.936	119.980	5.220	4.264	5.012	4.244	
20/11/2019	16:07:14	30.00		5.2857	5.4057	5.5635	5.7933	27.000	27.000	27.000	27.000	1002.66	---	---	---	---	23.706	23.235	23.419	22.627	113.186	44.699	77.951	119.975	5.175	4.233	5.005	4.228	
20/11/2019	16:07:24	40.00		5.2825	5.4017	5.5676	5.7908	27.000	27.000	27.000	27.000	1002.34	---	---	---	---	23.713	23.244	23.411	22.632	113.210	44.717	77.930	119.985	5.208	4.235	5.009	4.236	
20/11/2019	16:07:34	50.00		5.2777	5.4032	5.5652	5.7882	27.000	27.000	27.000	27.000	1002.33	---	---	---	---	23.724	23.241	23.416	22.637	113.219	44.724	77.940	119.955	5.222	4.257	5.016	4.231	
20/11/2019	16:07:44	60.00		5.2775	5.3967	5.5712	5.7890	27.000	27.000	27.000	27.000	1002.27	---	---	---	---	23.724	23.254	23.403	22.635	113.261	44.739	77.925	119.965	5.191	4.247	5.008	4.226	
20/11/2019	16:07:54	70.00		5.2796	5.3924	5.5646	5.7917	27.000	27.000	27.000	27.000	1002.33	---	---	---	---	23.720	23.264	23.417	22.630	113.277	44.755	77.938	119.992	5.212	4.255	5.015	4.241	
20/11/2019	16:08:04	80.00		5.2787	5.3914	5.5715	5.7962	27.000	27.000	27.000	27.000	1002.38	---	---	---	---	23.722	23.266	23.402	22.621	113.304	44.779	77.915	119.984	5.181	4.253	5.022	4.238	
20/11/2019	16:08:14	90.00		5.2733	5.3909	5.5718	5.7941	27.000	27.000	27.000	27.000	1002.26	---	---	---	---	23.733	23.267	23.402	22.625	113.331	44.769	77.927	119.986	5.204	4.256	5.021	4.249	
20/11/2019	16:08:24	100.00		5.2684	5.3867	5.5797	5.7927	27.000	27.000	27.000	27.000	1002.31	---	---	---	---	23.744	23.276	23.386	22.628	113.349	44.793	77.918	120.055	5.183	4.254	4.994	4.232	
20/11/2019	16:08:34	110.00		5.2619	5.3846	5.5740	5.7910	27.000	27.000	27.000	27.000	1002.34	---	---	---	---	23.759	23.280	23.397	22.631	113.358	44.797	77.915	120.027	5.199	4.255	5.010	4.239	
20/11/2019	16:08:44	120.00		5.2651	5.3793	5.5775	5.7944	27.000	27.000	27.000	27.000	1002.30	---	---	---	---	23.752	23.292	23.390	22.625	113.358	44.827	77.932	120.032	5.213	4.239	5.004	4.244	
