
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.328	21.424	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.623	19.849	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.578	21.344	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.622	19.972	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	20/11/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
20/11/2019	19:37:25	0.00		5.4807	5.5026	5.7251	5.8162	27.000	27.000	27.000	27.000	1006.23	58.361	---	---	---	23.251	21.575	22.673	21.086	64.638	39.677	43.955	51.645	4.670	6.458	5.745	5.842	
20/11/2019	19:37:35	10.00		5.4852	5.4910	5.7078	5.7848	27.000	27.000	27.000	27.000	1006.17	58.361	---	---	---	23.242	21.598	22.707	21.146	64.647	39.679	43.934	51.652	4.679	6.433	5.761	5.804	
20/11/2019	19:37:45	20.00		5.4795	5.5014	5.7073	5.8228	27.000	27.000	27.000	27.000	1006.21	58.259	---	---	---	23.254	21.577	22.709	21.074	64.644	39.679	43.935	51.669	4.671	6.479	5.741	5.808	
20/11/2019	19:37:55	30.00		5.4749	5.4929	5.7141	5.8193	27.000	27.000	27.000	27.000	1006.17	58.295	---	---	---	23.264	21.595	22.695	21.080	64.677	39.660	43.955	51.667	4.687	6.483	5.761	5.808	
20/11/2019	19:38:05	40.00		5.4712	5.5083	5.7201	5.8160	27.000	27.000	27.000	27.000	1006.21	58.265	---	---	---	23.271	21.563	22.683	21.087	64.699	39.695	43.953	51.657	4.649	6.439	5.738	5.823	
20/11/2019	19:38:15	50.00		5.4812	5.4879	5.7155	5.8054	27.000	27.000	27.000	27.000	1006.21	58.282	---	---	---	23.250	21.605	22.692	21.107	64.701	39.681	43.957	51.664	4.664	6.450	5.728	5.787	
20/11/2019	19:38:25	60.00		5.4809	5.5039	5.7125	5.8152	27.000	27.000	27.000	27.000	1006.18	58.291	---	---	---	23.251	21.572	22.698	21.088	64.713	39.705	44.003	51.690	4.648	6.428	5.716	5.808	
20/11/2019	19:38:35	70.00		5.4722	5.5020	5.6987	5.7828	27.000	27.000	27.000	27.000	1006.20	58.300	---	---	---	23.269	21.576	22.726	21.150	64.715	39.663	43.980	51.683	4.652	6.452	5.739	5.805	
20/11/2019	19:38:45	80.00		5.4649	5.5050	5.7021	5.7783	27.000	27.000	27.000	27.000	1006.18	58.300	---	---	---	23.284	21.570	22.719	21.159	64.742	39.679	43.968	51.681	4.647	6.414	5.740	5.815	
20/11/2019	19:38:55	90.00		5.4652	5.5113	5.7010	5.8029	27.000	27.000	27.000	27.000	1006.21	58.337	---	---	---	23.284	21.557	22.721	21.112	64.744	39.655	43.996	51.701	4.645	6.463	5.748	5.787	
20/11/2019	19:39:05	100.00		5.4559	5.5011	5.7171	5.8032	27.000	27.000	27.000	27.000	1006.22	58.295	---	---	---	23.304	21.578	22.689	21.111	64.811	39.675	44.016	51.727	4.644	6.463	5.750	5.805	
20/11/2019	19:39:15	110.00		5.4649	5.4954	5.6967	5.7993	27.000	27.000	27.000	27.000	1006.23	58.247	---	---	---	23.285	21.589	22.730	21.119	64.848	39.676	44.007	51.740	4.673	6.464	5.757	5.795	
20/11/2019	19:39:25	120.00		5.4637	5.5085	5.6997	5.7941	27.000	27.000	27.000	27.000	1006.26	58.276	---	---	---	23.287	21.563	22.724	21.129	64.851	39.677	44.035	51.746	4.652	6.443	5.723	5.788	
20/11/2019	19:39:35	130.00		5.4727	5.5005	5.6992	5.7839	27.000	27.000	27.000	27.000	1006.22	58.286	---	---	---	23.268	21.579	22.725	21.148	64.841	39.689	44.021	51.752	4.649	6.421	5.734	5.785	
20/11/2019	19:39:45	140.00		5.4588	5.5049	5.7077	5.7937	27.000	27.000	27.000	27.000	1006.23	58.277	---	---	---	23.297	21.571	22.708	21.129	64.860	39.661	44.032	51.769	4.642	6.433	5.722	5.817	
20/11/2019	19:39:55	150.00		5.4611	5.5181	5.6933	5.7970	27.000	27.000	27.000	27.000	1006.27	58.277	---	---	---	23.293	21.544	22.737	21.123	64.839	39.678	44.045	51.766	4.654	6.413	5.733	5.800	
20/11/2019	19:40:05	160.00		5.4621	5.4999	5.6796	5.7797	27.000	27.000	27.000	27.000	1006.22	58.241	---	---	---	23.291	21.581	22.764	21.156	64.881	39.684	44.039	51.786	4.669	6.420	5.730	5.782	
20/11/2019	19:40:15	170.00		5.4614	5.5113	5.6852	5.7984	27.000	27.000	27.000	27.000	1006.23	58.235	---	---	---	23.292	21.558	22.753	21.121	64.904	39.669	44.055	51.802	4.655	6.439	5.708	5.764	
20/11/2019	19:40:25	180.00		5.4588	5.5012	5.6733	5.7744	27.000	27.000	27.000	27.000	1006.26	58.270	---	---	---	23.297	21.578	22.777	21.166	64.880	39.666	44.069	51.835	4.637	6.432	5.719	5.782	
20/11/2019	19:40:35	190.00		5.4676	5.5118	5.6853	5.7751	27.000	27.000	27.000	27.000	1006.24	58.265	---	---	---	23.279	21.556	22.753	21.165	64.908	39.675	44.097	51.814	4.634	6.445	5.766	5.816	
