
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.312	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SA7-530-200	2	OFF	27.000	OFF	1013	35.000	10%	400x	5	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.328	21.424	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.623	19.849	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.578	21.344	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.500	25.500	1013	100.000	20.950	53.622	19.972	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	0.000	
Data	Smoothing:	5	
Date:	20/11/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
20/11/2019	16:06:55	0.00		5.6116	5.5346	5.3586	5.8619	27.000	27.000	27.000	27.000	1004.39	59.155	---	---	---	22.980	21.510	23.434	21.000	66.133	39.320	45.879	53.384	4.631	6.413	5.715	5.800	
20/11/2019	16:07:05	10.00		5.6118	5.5295	5.3481	5.8475	27.000	27.000	27.000	27.000	1004.38	59.155	---	---	---	22.980	21.520	23.457	21.027	66.127	39.343	45.816	53.400	4.638	6.442	5.715	5.798	
20/11/2019	16:07:15	20.00		5.6111	5.5396	5.3384	5.8598	27.000	27.000	27.000	27.000	1004.46	59.179	---	---	---	22.981	21.500	23.478	21.004	66.139	39.327	45.746	53.432	4.621	6.436	5.709	5.824	
20/11/2019	16:07:25	30.00		5.6059	5.5314	5.3438	5.8580	27.000	27.000	27.000	27.000	1004.38	59.173	---	---	---	22.992	21.516	23.466	21.008	66.170	39.323	45.747	53.438	4.651	6.424	5.724	5.791	
20/11/2019	16:07:35	40.00		5.5928	5.5274	5.3500	5.8476	27.000	27.000	27.000	27.000	1004.40	59.173	---	---	---	23.019	21.525	23.453	21.027	66.137	39.344	45.742	53.457	4.647	6.426	5.737	5.811	
20/11/2019	16:07:45	50.00		5.6074	5.5297	5.3432	5.8528	27.000	27.000	27.000	27.000	1004.40	59.246	---	---	---	22.989	21.520	23.468	21.017	66.157	39.326	45.753	53.483	4.654	6.442	5.731	5.806	
20/11/2019	16:07:55	60.00		5.6001	5.5508	5.3474	5.8387	27.000	27.000	27.000	27.000	1004.30	59.191	---	---	---	23.004	21.478	23.458	21.044	66.173	39.323	45.765	53.483	4.660	6.451	5.757	5.789	
20/11/2019	16:08:05	70.00		5.6122	5.5391	5.3323	5.8391	27.000	27.000	27.000	27.000	1004.34	59.179	---	---	---	22.979	21.501	23.491	21.043	66.156	39.288	45.733	53.505	4.657	6.435	5.701	5.787	
20/11/2019	16:08:15	80.00		5.6000	5.5304	5.3440	5.8333	27.000	27.000	27.000	27.000	1004.30	59.185	---	---	---	23.004	21.519	23.466	21.054	66.156	39.313	45.757	53.530	4.648	6.412	5.740	5.812	
20/11/2019	16:08:25	90.00		5.5968	5.5490	5.3388	5.8345	27.000	27.000	27.000	27.000	1004.38	59.191	---	---	---	23.010	21.481	23.477	21.052	66.181	39.278	45.739	53.532	4.638	6.453	5.687	5.809	
20/11/2019	16:08:35	100.00		5.5963	5.5361	5.3319	5.8501	27.000	27.000	27.000	27.000	1004.35	59.228	---	---	---	23.012	21.507	23.492	21.022	66.187	39.276	45.732	53.555	4.662	6.422	5.732	5.790	
20/11/2019	16:08:45	110.00		5.5972	5.5591	5.3430	5.8146	27.000	27.000	27.000	27.000	1004.35	59.240	---	---	---	23.010	21.461	23.468	21.089	66.204	39.250	45.729	53.581	4.637	6.435	5.733	5.820	
20/11/2019	16:08:55	120.00		5.5973	5.5591	5.3371	5.8309	27.000	27.000	27.000	27.000	1004.35	59.197	---	---	---	23.009	21.461	23.481	21.058	66.214	39.244	45.706	53.588	4.647	6.474	5.724	5.785	
