Day,Culture,Temperature,Disk,Treatment,Date,JuvID,F,Fm,Fo,FvFm,FvFmInitial,FvFmPercentageChange,CellPerJuv,Area_mm2,Area_mm2_Difference,Area_mm2_PercentageChange,Polyps,Polyps_Difference,Polyps_PercentageChange,Dead,RespirationPerMM2 ,CellsPerMM2,CellDensityPerMM2PercentChange,CellDensityPerMM2PercentChangePerTimePointAndCulture
00,WT10,31,02,WT10@31,15.10.19,1,0.0108,0.0147,0.0108,0,0,,,2.101,0,,5,,,no,,,,
00,WT10,31,02,WT10@31,15.10.19,2,0.0069,0.0083,0.0069,0,0,,,2.881,0,,3,,,no,,,,
00,WT10,31,02,WT10@31,15.10.19,3,0.1672,0.248,0.1672,0.326,0.326,0,10875,0.506,0,,1,,,no,,21492,,-61.48824982
00,WT10,31,02,WT10@31,15.10.19,4,0.0152,0.0245,0.0152,0,0,,,0.423,0,,1,,,no,,,,
00,WT10,31,02,WT10@31,15.10.19,5,0.1735,0.301,0.1735,0.423,0.423,0,,,,,,,,came off,,,,
00,WT10,31,02,WT10@31,15.10.19,6,0.1456,0.2343,0.1456,0.379,0.379,0,13154,0.417,0,,2,,,no,,31545,,-43.47484106
00,SS01,27,02,SS01@27,15.10.19,1,0.025,0.0471,0.025,0,0,,,2.954,0,,6,,,cluster,,,,
00,SS01,27,07,SS01@27,15.10.19,1,0.0049,0.0049,0.0049,0,0,,,,,,,,,came off,,,,
03,SS01,27,02,SS01@27,17.10.19,1,0.0034,0.0029,0.0034,0,0,,,,,,,,,,,,,
03,SS01,27,07,SS01@27,17.10.19,1,0.0265,0.052,0.0265,0.491,0,,,,,,,,,,,,,
07,SS01,27,02,SS01@27,21.10.19,1,0.0436,0.077,0.0436,0.433,0,,,,,,,,,,,,,
07,SS01,27,07,SS01@27,21.10.19,1,0.0191,0.0377,0.0191,0,0,,,,,,,,,,,,,
10,SS01,27,02,SS01@27,24.10.19,1,0.0211,0.0319,0.0211,0,0,,,,,,,,,,,,,
10,SS01,27,07,SS01@27,24.10.19,1,0.0118,0.0284,0.0118,0,0,,,,,,,,,,,,,
00,SS01,27,02,SS01@27,15.10.19,2,0.0382,0.0647,0.0382,0.409,0.409,0,,0.905,0,,1,,,no,,,,
00,SS01,27,07,SS01@27,15.10.19,2,0.1946,0.2887,0.1946,0.326,0.326,0,22033,0.446,0,,1,,,no,,49402,,
